projectname,clientname,projectscope,yr_closed,newdistcode,cleanschool,newschoolid,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,yr_op1,genenrollment,distkids,CPI_perstu,CPIdist_kid,ctwhite,ctblack,cthispanic,ctReduced_lunch,distctwhite,distctblack,distcthispanic,distctReduced_lunch,maybecanceled,edu_building,career_tech,community1,community2,gen_facilities,admin,new,modern,career_techspending,edu_buildingspending,community1spending,community2spending,gen_facilitiesspending,adminspending,career_techstudent,edu_buildingstudent,community1student,community2student,gen_facilitiesstudent,adminstudent
CHEREMOYA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM),13,622710,CHEREMOYA ELEMENTARY,62271002917,640446.5,530131.9,9535.421,0,539667.3,2007,311,685249,1735.265,0.7875492,114,12,173,258,61671,77938,514197,518046,0,0,0,0,0,1,0,0,0,,,,,1735.265,,,,,,1735.265,
WILSON SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-CR BLDG. (BLDG. 300, A#28387 & 03-109203), SITE IMPROVEMENTS",15,622710,WILSON SENIOR HIGH,62271003466,0,709490.7,35693.34,745184,745184,2012,1878,653337,396.7966,1.140581,12,23,1911,0,59627,62467,483838,195472,0,1,0,0,0,1,0,0,0,,396.7966,,,396.7966,,,396.7966,,,396.7966,
LANKERSHIM ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHELTER.,9,622710,LANKERSHIM ELEMENTARY,62271003124,202525.8,237967.8,105749.2,0,343717,2005,712,727319,482.7486,0.4725808,27,54,749,759,66438,86362,539906,556015,0,0,0,0,0,1,0,0,0,,,,,482.7486,,,,,,482.7486,
POINT LOMA HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-WEIGHT ROOM,14,634320,POINT LOMA HIGH,63432005537,0,729736.4,207057.8,956846.4,956846.4,2010,2054,131433,465.8454,7.280108,885,171,938,1016,30767,15287,60272,84813,0,0,0,0,1,0,0,0,0,,,,465.8454,,,,,,465.8454,,
ADAMS MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-AUDITORIUM BUILDING (HVAC),15,622710,ADAMS MIDDLE,62271002800,0,275877.2,57536.78,333414,333414,2008,1603,684143,207.9938,0.4873455,1,32,1641,1608,59978,74519,504866,469364,0,0,0,0,1,1,0,0,0,,,,207.9938,207.9938,,,,,207.9938,207.9938,
HAVENSCOURT MIDDLE SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-BUILDING B - CONVERT MULTI-PURPOSE ROOM TO HEALTH CENTER, ADDITIONS TO 1-BUILDING B - ADD EQUIPMENT ROOM",12,628050,HAVENSCOURT MIDDLE,62805004271,755808.9,928241.4,-1468.429,0,926772.9,2010,0,46428,,19.96151,0,0,0,0,3442,15033,17954,32425,0,0,1,1,0,1,0,0,0,,,,,,,,,,,,
FAIRFAX HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF RAMP AND ALTERATIONS TO AUDITORIUM BLDG.,8,622710,FAIRFAX HIGH,62271002998,145033.3,160396.7,,0,160396.7,1998,2271,695885,70.62823,0.2304931,,497,1019,,0,93867,466259,0,0,0,0,0,1,1,0,0,0,,,,70.62823,70.62823,,,,,70.62823,70.62823,
GREENBERG  ELEMENTARY (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF CLASSROOM BLDG. (RELOCATABLE) & ALTERATIONS TO 3 CLASSROOM BLDGS.,3,614550,GREENBERG ELEMENTARY,61455008470,161898.8,0,,0,161898.8,2001,1127,81058,143.6547,1.997321,17,55,606,0,15978,9155,38881,56476,0,1,0,0,0,0,0,0,0,,143.6547,,,,,,143.6547,,,,
VALENCIA PARK ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-15 - RELOCATABLE C.R. BLDG/S (B01 A27333, B02-B04 A30471, B05 A67433, B06 & B07 A65547, B08 A30546, B09 A28380, B10 A04-101282, B20 A30739, B21 A28996, B22 A14142, B23 A20010, B24 A28995), 1 - RELO. TOILET BLDG (A04-104800)",10,634320,VALENCIA PARK ELEMENTARY,63432005563,1570237,2312727,350928.2,0,2663655,2006,598,130627,4454.272,20.39131,30,244,215,463,33891,18387,57587,78732,0,1,0,0,0,1,0,0,0,,4454.272,,,4454.272,,,4454.272,,,4454.272,
VARIOUS ALLENDALE ESHILLCREST ELEMENTARY (OAKLAND USD) SOLAR STICK,OAKLAND UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SOLAR PANEL POST,10,628050,VARIOUS ALLENDALE ESHILLCREST ELEMENTARY,999999,13844.11,27039.28,,0,27039.28,2009,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
JOHN BURROUGHS MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (MODERNIZATION-ACS, ASPHALT CONCRETE RESURFACING,ETC.)",15,622710,JOHN BURROUGHS MIDDLE,62271002875,0,190816.5,1664112,1854928,1854928,2005,2222,727319,834.8012,2.550364,200,345,819,1293,66438,86362,539906,556015,0,1,0,0,0,1,0,0,1,,834.8012,,,834.8012,,,834.8012,,,834.8012,
FOSTER ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 3-CLASSROOM BUILDINGS 01-03, 01-04 & 01-06, 5-CLASSROOM BUILDINGS (RELOCATABLE) B22-B23, B25-B27, 1-KINDERGARTEN BUILDING 01-05 / ALL HVAC UPGRADES BASED ON PC#04-112959",15,634320,FOSTER ELEMENTARY,63432005462,0,2003955,,2003955,2003955,2014,,,,,120,45,129,214,29972,12559,60792,76657,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,
CHALLENGER MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-BALLFIELD RETAINING WALLS AND LIGHT POSTS,15,634320,CHALLENGER MIDDLE,63432009189,322873.4,322873.4,,322873.4,322873.4,1998,1272,138433,253.8313,2.332345,,91,113,,0,23065,48077,0,0,0,0,0,1,1,0,0,0,,,,253.8313,253.8313,,,,,253.8313,253.8313,
ENCINO ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (MODERNIZATION-ACS, ASPHALTIC CONCRETE RESURFACES)",15,622710,ENCINO ELEMENTARY,62271002990,0,315204.8,237019.2,552224,552224,2004,533,741367,1036.068,0.7448726,165,82,235,265,68132,88271,541514,558973,0,1,0,0,0,1,0,0,1,,1036.068,,,1036.068,,,1036.068,,,1036.068,
SAN PEDRO ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),14,622710,SAN PEDRO ELEMENTARY,63509009630,1682773,2050101,599187.1,0,2649288,2004,363,3497,7298.314,757.5888,6,10,361,371,1199,162,1803,1842,0,0,1,0,0,1,0,0,0,7298.314,,,,7298.314,,7298.314,,,,7298.314,
GREEN OAKS ELEMENTARY  (ONLINE) (SAN JUAN UNIFIED SD),SAN JUAN UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS FIRE ALARM,9,634620,GREEN OAKS ELEMENTARY,63462005782,200289.1,206199.4,,0,206199.4,2007,429,46754,480.6512,4.410304,381,6,17,21,32199,3515,7399,14642,0,0,0,0,0,1,0,0,0,,,,,480.6512,,,,,,480.6512,
FORT MILLER MIDDLE (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF SCHOOL MARQUEE AND NAME SIGN,5,614550,FORT MILLER MIDDLE,61455001731,9304.126,0,,0,9304.126,2001,839,81058,11.08954,0.1147836,101,79,413,673,15978,9155,38881,56476,0,0,0,0,0,1,0,0,0,,,,,11.08954,,,,,,11.08954,
BYRD MIDDLE SCHOOL (CHANGED TO SUN VALLEY HS),LOS ANGELES UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-(4) 48'X40' BLDGS (STOCKPILE #02-100771) W/ RAMP(PC04-100768), ALTERATIONS TO 1-C.R. BLDG FOR TOILET UPGRADE(#17328)",15,622710,BYRD MIDDLE,62271002878,0,744447.8,0.013053,744447.8,744447.8,2002,2087,746852,356.7072,0.9967809,138,38,1690,1410,70746,91195,524821,534883,0,1,0,0,0,1,0,0,0,,356.7072,,,356.7072,,,356.7072,,,356.7072,
RICHARD E. BYRD MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS-(MODERNIZATION-BARIER REMOVAL,ASPHALTIC CONCRETE RESURFACING,ETC)",14,622710,RICHARD E. BYRD MIDDLE,62271002878,0,27944.45,275113.5,303057.9,303057.9,2004,1999,741367,151.6048,0.4087826,106,24,1815,1488,68132,88271,541514,558973,0,1,0,0,0,1,0,0,1,,151.6048,,,151.6048,,,151.6048,,,151.6048,
SERRA HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-BASEBALL SCOREBOARD,1,634320,SERRA HIGH,63432005549,19349.15,19349.15,,0,19349.15,2000,1884,141804,10.27025,0.13645,733,296,408,922,38723,23300,52361,88089,0,1,0,0,1,0,0,0,0,,10.27025,,10.27025,,,,10.27025,,10.27025,,
VISTA GRANDE ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHELTER (POLIGON L-SHAPED 40X24) AND ADA IMPROVEMENTS,6,634320,VISTA GRANDE ELEMENTARY,63432005564,176575.8,187435.2,8876.773,196312,196312,2002,599,140753,327.7328,1.394727,300,78,173,254,37601,22065,56205,86939,0,0,0,0,1,1,0,0,0,,,,327.7328,327.7328,,,,,327.7328,327.7328,
COLE ELEMENTARY SCHOOL-OAKLAND USD,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-OFFICE BUILDING  (RELOCATABLE),14,628050,COLE ELEMENTARY,62805004252,53112.07,61610,11182.48,72792.48,72792.48,2011,0,46193,,1.575834,0,0,0,0,3719,14356,18430,31860,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,
GATES EARLY EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-CHILDREN CENTER BUILDING FIRE ALARM. (A-36981),16,622710,GATES EARLY EDUCATION CENTER,62271003039,0,81206.3,,81206.3,81206.3,2008,786,684143,103.3159,0.1186979,10,7,639,389,59978,74519,504866,469364,0,0,1,0,0,1,0,0,0,103.3159,,,,103.3159,,103.3159,,,,103.3159,
GREEN OAKS FUND. (SAN JUAN UNIFIED SD),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-1 - SHADE STRUCTURE,8,634620,GREEN OAKS FUND. (SAN JUAN UNIFIED SD),63462005782,34705.17,40391.03,,0,40391.03,2006,432,47532,93.49776,0.849765,395,7,14,19,33044,3704,7289,14604,0,0,0,0,0,1,0,0,0,,,,,93.49776,,,,,,93.49776,
BYRD MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-MARQUEE SIGN,15,622710,BYRD MIDDLE,62271002878,0,99687.09,,99687.09,99687.09,2012,1662,653337,59.9802,0.1525814,31,13,1561,0,59627,62467,483838,195472,0,0,0,0,0,1,0,0,0,,,,,59.9802,,,,,,59.9802,
BRET HARTE MIDDLE SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SITE RETAINING WALL,7,628050,BRET HARTE MIDDLE,62805004242,303401.3,471956.6,14304.77,0,486261.3,2005,880,48135,552.5697,10.10203,74,380,213,544,2953,20267,16904,31236,0,0,0,0,0,1,0,0,0,,,,,552.5697,,,,,,552.5697,
GREEN ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-LIBRARY/MULTI-PURPOSE BUILDING (A#04-103813) AND ASSOCIATED SITE WORK,7,634320,GREEN ELEMENTARY,63432005471,165945.4,234217.4,13610.66,247828.1,247828.1,2004,408,134709,607.4217,1.839729,181,80,100,137,35750,20001,57810,70280,0,0,0,1,0,1,0,0,0,,,607.4217,,607.4217,,,,607.4217,,607.4217,
CABRILLO AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-FIRE ALARM UPGRADE (ENTIRE CAMPUS),14,622710,CABRILLO AVENUE ELEMENTARY,62271002882,615922.9,390899.8,35360.8,426260.6,426260.6,2008,447,684143,953.603,0.6230577,37,49,375,434,59978,74519,504866,469364,0,0,0,0,0,1,0,0,0,,,,,953.603,,,,,,953.603,
WEST VALLEY OCCUPATIONAL CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SHADE STRUCTURE,14,622710,WEST VALLEY OCCUPATIONAL CENTER,62271012141,14234.63,161069.2,,0,161069.2,2006,0,703722,,0.2288819,0,0,0,0,64272,82884,532152,558949,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
TUBMAN ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-(5)RELOCATABLE(24X40)CR BLDGS(B9,B10,B11,B12,B15)-A#04-101417 & A#04-103375 ; & RELATED SITE WORK.",8,634320,TUBMAN ELEMENTARY,63432003943,287233.4,287233.4,,0,287233.4,2005,268,132482,1071.766,2.168094,47,94,125,185,34789,19116,57416,72029,0,1,0,0,0,1,0,0,0,,1071.766,,,1071.766,,,1071.766,,,1071.766,
SYLVAN PARK CHILDREN CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-CLASSROOM BUILDING (RELOCATABLE), ALTERATIONS TO 1-CLASSROOM BUILDING",8,622710,SYLVAN PARK CHILDREN CENTER,62271003386,105597.3,514276,11981.39,0,526257.4,2002,1190,746852,442.2332,0.7046342,40,31,1112,1141,70746,91195,524821,534883,0,1,0,0,0,0,0,0,0,,442.2332,,,,,,442.2332,,,,
SAN PEDRO SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM),12,622710,SAN PEDRO SENIOR HIGH,62271003330,0,2289265,712468.3,3001734,3001734,2005,3550,727319,845.5587,4.127121,838,363,2177,1539,66438,86362,539906,556015,0,0,0,0,0,1,0,0,0,,,,,845.5587,,,,,,845.5587,
CAPISTRANO ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 2-SHADE STRUCTURES (PC-02-111875), ALTERATIONS TO 1-CLASSROOM BUILDING (A# 17561), 1-PARTIAL GRADING",15,622710,CAPISTRANO ELEMENTARY,62271002895,0,119062.6,,119062.6,119062.6,2013,417,650620,285.5219,0.1829987,81,17,235,279,59934,61377,482081,389786,0,1,0,0,0,1,0,0,0,,285.5219,,,285.5219,,,285.5219,,,285.5219,
CALAHAN ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),11,622710,CALAHAN ELEMENTARY,62271002885,1768064,1343748,281895.6,0,1625644,2004,500,741367,3251.287,2.192765,143,60,193,253,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,3251.287,,,,3251.287,,3251.287,,,,3251.287,
ARMINTA STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,,4,622710,ARMINTA STREET ELEMENTARY,62271002826,1056764,0,,0,1056764,2000,1052,721346,1004.528,1.464989,31,28,990,1065,72404,93532,496505,520214,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CALAHAN ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-20X30 SHADE STRUCTURE (PC04-110643), 3-30X40 SHADE STRUCTURE (PC02-109509), ALTERATIONS TO 1-BLDG B (A#15416)",14,622710,CALAHAN ELEMENTARY,62271002885,101799.6,151940.5,,0,151940.5,2011,565,659132,268.9212,0.230516,139,60,262,299,58880,65424,484516,411617,0,0,0,0,0,1,0,0,0,,,,,268.9212,,,,,,268.9212,
WILSON ELEMENTARY SCHOOL,FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONST. OF EIGHT CLSRM. BLDGS. (RELOCATABLE)  (INCR. 1 - SITEWORK ONLY),3,614550,WILSON ELEMENTARY,61455001779,469621.6,498607.9,485486.4,0,984094.3,1998,966,78942,1018.731,12.46604,,162,478,,0,8845,35362,0,0,1,0,0,0,1,0,0,0,,1018.731,,,1018.731,,,1018.731,,,1018.731,
CALVERT STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ADMIN. BLDG,14,622710,CALVERT STREET ELEMENTARY,62271002886,168474.1,411419.4,6131.986,417551.4,417551.4,2007,378,685249,1104.633,0.6093426,157,48,156,177,61671,77938,514197,518046,0,0,0,0,0,0,1,0,0,,,,,,1104.633,,,,,,1104.633
ALLENDALE ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO: EXISTING BUILDING A + INSTALLATION OF (4) NEW TEMPORARY D. O. H. RELOCATABLES (C.R. BLDGS.),15,628050,ALLENDALE ELEMENTARY,62805004238,1949472,1949472,215561.7,2165034,2165034,2000,588,54863,3682.03,39.46255,22,222,265,483,3061,26650,14645,32705,0,1,0,0,0,0,0,1,0,,3682.03,,,,,,3682.03,,,,
MORSE HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ROOF WALKWAY COVER (A#21469).,5,634320,MORSE HIGH,63432005526,145078.5,119367.7,,0,119367.7,2004,2920,134709,40.87934,0.8861151,149,551,787,1316,35750,20001,57810,70280,0,0,0,0,0,1,0,0,0,,,,,40.87934,,,,,,40.87934,
AVALON GARDENS ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-CLSRM BUILDING (STOCKPILE A-68900),13,622710,AVALON GARDENS ELEMENTARY,62271002831,50761.67,52929.91,,0,52929.91,1998,292,695885,181.2668,0.0760613,,280,23,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,181.2668,,,181.2668,,,181.2668,,,181.2668,
CAMELLIA AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,CAMELLIA AVENUE ELEMENTARY,62271002887,0,1089046,419213.2,1508259,1508259,2005,1243,727319,1213.402,2.073725,13,19,1342,1247,66438,86362,539906,556015,0,0,1,0,0,1,0,0,0,1213.402,,,,1213.402,,1213.402,,,,1213.402,
FIGARDEN ELEMENTARY (FRESNO UNIFIED SD),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SCOREBOARD,9,614550,FIGARDEN ELEMENTARY,61455008842,45455.54,45455.54,,0,45455.54,2007,671,76274,67.74298,0.5959507,271,88,289,270,11484,8632,44826,61725,0,1,0,0,1,0,0,0,0,,67.74298,,67.74298,,,,67.74298,,67.74298,,
CANYON ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-3 C.R.BLDGS.;2 SANITARY BLDGS.;ADM.BLDG.;LIB.BLDG.;M.P.BLDG.(INSTALLATION OF AIR CONDITIONING),11,622710,CANYON ELEMENTARY,62271002894,784808.6,1090529,125141,0,1215670,2000,334,721346,3639.732,1.685281,236,36,51,40,72404,93532,496505,520214,0,1,0,1,0,0,0,0,0,,3639.732,3639.732,,,,,3639.732,3639.732,,,
GRAHAM EARLY EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 2-SHADE STRUCTURES  (PC-04-1117350): (26' X 26' AND 35' X 25'),15,622710,GRAHAM EARLY EDUCATION CENTER,62271003048,0,138658.6,-138658.6,0,0,2013,799,650620,0,0,0,22,764,433,59934,61377,482081,389786,0,0,0,0,0,1,0,0,0,,,,,0,,,,,,0,
CAMELLIA AVENUE ELMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RELOCATION OF 2-CLASSROOM BUILDINGS (RELOCATABLE) FROM STOCKPILES (1 - A#-02-106373 AND 1- A#02-102602),13,622710,CAMELLIA AVENUE ELMENTARY,62271002887,0,93596.55,,93596.55,93596.55,2010,903,667090,103.6507,0.1403057,11,4,1008,929,58984,68122,491937,510789,0,1,0,0,0,1,0,0,0,,103.6507,,,103.6507,,,103.6507,,,103.6507,
ARCADE MIDDLE SCHOOL (SAN JUAN UNIFIED SCHOOL DISTRICT),SAN JUAN UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 17-BUILDINGS - FIRE ALARM UPGRADE,11,634620,ARCADE MIDDLE,63462005752,270252.2,301533.3,,0,301533.3,2009,575,47045,524.4058,6.409466,411,21,67,121,30825,3609,8035,16708,0,0,0,0,0,1,0,0,0,,,,,524.4058,,,,,,524.4058,
